"Formula","Time (ns)","RAM usage (bytes)","Tautology"
"¬(p ∧ p)","5579664","3162312","false"
"¬B₃r","6029445","3162496","false"
"¬(q ∨ r)","8521613","3611784","false"
"¬(r → r)","7824192","3611384","false"
"¬M₁p","5889002","3611680","false"
"¬(p ⇿ r)","7796577","3611384","false"
"¬M₂q","6189619","3611680","false"
"¬M₃r","5467040","3611680","false"
"¬(q ⇿ r)","6192949","3611384","false"
"¬(p ∨ q)","6837464","3611384","false"
"¬B₁r","6078967","3611568","false"
"¬(q ∨ q)","6074682","3611384","false"
"¬(p → p)","7534111","3611384","false"
"¬(p ∧ r)","5674653","3611384","false"
"¬(p ⇿ p)","6511759","3611384","false"
"¬M₁q","6840975","3611680","false"
"¬(q → q)","6472630","3611384","false"
"¬(r ∨ r)","6615442","3611384","false"
"¬M₃q","6334505","3611680","false"
"¬(q ∧ q)","5577389","3611384","false"
"¬M₃p","5816725","3611680","false"
"¬(p ∨ r)","7343206","3611384","false"
"¬(r ⇿ r)","5543066","3611384","false"
"¬(p → r)","8081261","3611384","false"
"¬¬q","5374865","3611368","false"
"¬M₂r","6057468","3611680","false"
"r ∧ (p ∨ r)","7541376","3611400","false"
"¬q ∧ r","5504767","3611384","false"
"(q → r) ∧ r","6880125","3611400","false"
"B₂r ∧ q","7368877","3611912","false"
"(r → q) ∧ p","6600864","3611616","false"
"M₁r ∧ q","10052775","3611800","false"
"¬q ∧ p","6315516","3611600","false"
"M₂r ∧ q","5759006","3611800","false"
"(q → r) ∧ q","5620888","3611616","false"
"B₂q ∧ q","7173868","3611912","false"
"¬r ∧ r","5767086","3611600","false"
"(q ∨ q) ∧ q","5768543","3611616","false"
"B₃p ∧ r","6600875","3611912","false"
"M₃p ∧ q","6315492","3611800","false"
"M₁q ∧ p","6037520","3611800","false"
"(p ∧ r) ∧ p","6271605","3611616","false"
"B₃q ∧ p","8601523","3611912","false"
"M₂q ∧ p","9782012","3611800","false"
"M₃r ∧ r","7126717","3611800","false"
"(q ∧ r) ∧ q","5994481","3611616","false"
"(r ∨ r) ∧ p","6253077","3611616","false"
"¬q ∧ q","5925628","3611600","false"
"(p ∧ p) ∧ p","6781951","3611616","false"
"(p → r) ∧ q","5790418","3611616","false"
"(p ∨ q) ∧ q","6364207","3611616","false"
"(q → r) ∧ p","5994095","3611616","false"
"q ∨ B₃p","6020622","3611912","false"
"(p → q) ∨ p","6439577","3611616","true"
"(p ∧ p) ∨ q","6265817","3611616","false"
"(r ∧ r) ∨ p","6984795","3611616","false"
"(p → r) ∨ p","6427703","3611704","true"
"B₂p ∨ q","6273935","3612000","false"
"M₁p ∨ p","7744138","3611888","false"
"(p → r) ∨ r","5861461","3611704","false"
"B₁q ∨ p","6353114","3612000","false"
"(r → q) ∨ r","7266942","3611704","true"
"(p ∨ q) ∨ p","6179611","3611704","false"
"(q ⇿ r) ∨ r","7252574","3611704","false"
"(p ∨ p) ∨ r","5977082","3611704","false"
"(p ∧ r) ∨ q","5827982","3611704","false"
"B₁r ∨ q","6800727","3612000","false"
"(p ∨ r) ∨ r","7030367","3611704","false"
"M₁p ∨ r","6899214","3611888","false"
"B₃q ∨ q","7362763","3612000","false"
"(p ∧ p) ∨ r","6468010","3611704","false"
"B₂q ∨ p","6900224","3612000","false"
"M₁q ∨ p","6568177","3611888","false"
"(r ∧ r) ∨ q","6514459","3611704","false"
"B₁p ∨ r","6177543","3612000","false"
"(q ∧ r) ∨ q","5874448","3611704","false"
"M₂r ∨ r","7023517","3611888","false"
"(p ⇿ q) ∨ q","6315834","3611704","false"
"p → (q ∧ q)","7111858","3611704","false"
"(p → p) → p","6555913","3611704","false"
"(q ⇿ r) → q","6996579","3611704","false"
"(q ∧ q) → p","6379977","3611704","false"
"¬r → q","7107384","3611688","false"
"(r ⇿ r) → q","7487876","3611704","false"
"M₃p → r","6910725","3612000","false"
"¬p → q","6573842","3611688","false"
"(p ∧ q) → r","7032268","3611704","false"
"(q ⇿ q) → r","6172344","3611704","false"
"(p ⇿ p) → p","6224341","3611704","false"
"M₁q → r","6151729","3612000","false"
"B₃p → q","6103742","3611888","false"
"M₃q → r","6601119","3612000","false"
"(p → r) → q","5988886","3611704","false"
"(p ⇿ q) → p","6115151","3611704","false"
"M₃r → q","5863683","3612000","false"
"(r ∨ r) → p","6227801","3611704","false"
"M₁p → r","5780271","3612000","false"
"M₁r → r","5931538","3612000","false"
"(r ⇿ r) → p","6092948","3611704","false"
