"Formula","Time (ns)","RAM usage (bytes)","Tautology"
"¬p","5913967","3138768","false"
"¬q","5342825","3138808","false"
"¬r","8135625","3139032","false"
"p ∧ p","5276623","3139048","false"
"p ∧ q","5525960","3140328","false"
"p ∧ r","4745544","3140328","false"
"q ∧ q","5705810","3140328","false"
"q ∧ r","7758740","3140328","false"
"r ∧ r","9237719","3140328","false"
"p ∨ p","4709174","3140328","false"
"p ∨ q","6014303","3140328","false"
"p ∨ r","10587373","3140328","false"
"q ∨ q","7819433","3140328","false"
"q ∨ r","6510175","3140440","false"
"r ∨ r","5949458","3140440","false"
"p → p","4912899","3140440","true"
"p → q","5100544","3140440","false"
"p → r","4873638","3140440","false"
"q → p","5158791","3140440","false"
"q → q","6377869","3140440","true"
"q → r","6296849","3140440","false"
"r → p","6257788","3140440","false"
"r → q","6759258","3140440","false"
"r → r","5989976","3140440","true"
"p ⇿ p","6068279","3140440","true"
"p ⇿ q","6383668","3140440","false"
"p ⇿ r","5253860","3140440","false"
"q ⇿ q","4524686","3140440","true"
"q ⇿ r","7704595","3140440","false"
"r ⇿ r","6395280","3140440","true"
"M₁p","15062052","3162264","false"
"M₁q","7992468","3161544","false"
"M₁r","7661401","3161544","false"
"M₂p","6930656","3161544","false"
"M₂q","6348840","3161544","false"
"M₂r","7863404","3161544","false"
"M₃p","7100461","3161544","false"
"M₃q","6203588","3161544","false"
"M₃r","8939547","3161544","false"
"B₁p","8130616","3161096","false"
"B₁q","8333321","3161016","false"
"B₁r","10074332","3161016","false"
"B₂p","9480024","3161016","false"
"B₂q","9476525","3161016","false"
"B₂r","13195279","3161016","false"
"B₃p","8235146","3161016","false"
"B₃q","8605069","3161016","false"
"B₃r","9292860","3161016","false"
