"Formula","Time (ns)","RAM usage (bytes)","Tautology"
"B₂q → M₃B₂M₂¬p","15341768127","6572856","false"
"¬p → M₃M₂((p ∧ r) ∧ p)","10024192076","3684328","false"
"(q ∧ r) → (B₂p ∨ M₁M₁p)","81312476721","10511888","false"
"M₁q → (B₁M₂q ⇿ (q → p))","108872208980","11330480","false"
"(p → q) → ¬((p ∨ r) ⇿ (r ⇿ r))","7395326","3517392","false"
"(r → r) → B₁(B₂M₂r ∨ q)","83026518666","10488232","false"
"M₃(r → r) → B₁¬(r → r)","5737370","3520440","false"
"B₃(p ⇿ q) → M₁B₂(p ∧ p)","81747389235","10445272","false"
"(M₁p ∨ p) → B₁¬(r ∨ r)","5888373","3520160","false"
"B₂(r ⇿ r) → (B₂(p → r) ∨ q)","10016967292","3687480","false"
"(B₁r ∨ q) → (B₃¬q ⇿ p)","7865958","3518728","false"
"¬(r ∨ r) → M₃((p ∧ q) → r)","10005163103","3517576","false"
"M₂((p ∧ r) ∧ p) → ((p ∧ p) ∧ p)","8768635","3517704","false"
"(M₃(p ⇿ r) ⇿ q) → B₂(p ∨ q)","7894257","3520080","false"
"M₂B₂(q ∧ q) → M₃M₁q","11575798136","6572872","false"
"((M₃r → q) → q) → B₂(p ∧ p)","8966708","3519896","false"
"M₂(M₂r ⇿ r) → (M₃p ⇿ p)","4113624246","5224496","false"
"M₁((r ∨ r) → p) → M₂B₁r","97906827271","10487512","false"
"¬¬B₂M₃p → (p ∨ p)","10792421236","3856528","false"
"B₁M₂((p ∧ r) ∧ p) → (q ⇿ q)","7926018","3517872","true"
"¬(B₁M₃q ⇿ q) → B₃q","87876605924","10463320","false"
"¬B₂M₂B₁q → (q ⇿ r)","90334727930","10487496","false"
"(((r ∧ r) ⇿ B₂p) → p) → B₂r","5934655","3520808","false"
"¬¬¬(p ⇿ p) → B₂q","8065618","3517608","true"
"B₂M₃(B₂r ⇿ (p ∧ q)) → p","94330986214","10743824","false"
"p ⇿ ((M₃p → r) ∨ M₃(r ∨ r))","10061491000","3687992","false"
"B₂p ⇿ (B₁B₁B₁q ∧ p)","12486673862","6572936","false"
"(q → r) ⇿ (M₁(M₃p ⇿ p) → q)","8486545","3519672","false"
"B₁p ⇿ B₁M₃¬(p ⇿ p)","88320503547","10503624","false"
"(q ⇿ q) ⇿ B₃((p ∧ p) → M₃p)","6134877","3520056","false"
"M₁q ⇿ B₁(B₂M₃r ⇿ p)","12716737626","6698024","false"
"(q → r) ⇿ B₃(M₁¬q → p)","8504550","3520128","false"
"B₃(q → r) ⇿ ((p → q) ∧ (p ∨ p))","10006282034","3517656","false"
"¬M₂r ⇿ M₂(B₁p ∨ r)","88909165981","10541536","false"
"(M₃p ⇿ p) ⇿ M₂(B₂r ∧ q)","71141335503","10445336","false"
"M₂M₃r ⇿ (((q → r) ∧ q) ⇿ r)","10015507068","3518464","false"
"(B₃r ⇿ q) ⇿ (M₃(p ⇿ r) ⇿ q)","7647888","3518464","false"
"M₁M₃r ⇿ (¬p ∨ (p ∧ r))","10019659055","3518088","false"
"((p ⇿ r) ∨ (p ∧ q)) ⇿ ((q ∨ q) ∧ q)","8115466","3517472","false"
"M₁B₁B₂q ⇿ B₂M₃q","12520900261049","81334144","false"
"M₁(B₁p ⇿ r) ⇿ M₂(q → p)","93052541763","10445336","false"
"M₂B₃B₁p ⇿ ¬(p ∨ q)","86775456011","10489984","false"
"B₃B₃B₂r ⇿ (¬p → q)","132771072507","10445320","false"
"M₂B₃(q ∨ r) ⇿ M₃(p ∧ r)","167749105274","10445336","false"
"B₂B₁B₁B₁q ⇿ B₃p","12531890564184","80120744","false"
"((M₃(p ⇿ r) ⇿ q) ⇿ q) ⇿ B₂q","6392210","3520424","false"
"B₃M₂(B₂q ⇿ p) ⇿ (p ∨ p)","71217439172","10506016","false"
"M₁((q ∧ r) ∧ (q → r)) ⇿ B₁q","10017623433","3518984","false"
"((q ∨ q) → ((q → r) ⇿ q)) ⇿ (q ⇿ q)","10251815","3517472","false"
"M₃M₁B₃(r → q) ⇿ ¬r","91604666727","10682408","false"
"M₂B₃B₁B₂(r ∨ r) ⇿ r","14119037504","6696616","false"
"M₁M₃¬B₁M₁(p ∧ r)","12082379932","6572920","false"
"M₁((q → r) → M₂¬M₂q)","72628536502","10458320","false"
"M₁B₁B₃((M₃p ⇿ p) ∨ q)","12510177374","6572936","false"
"M₁B₃((q ∨ q) → ((q → r) ⇿ q))","10045866873","3687544","false"
"M₁B₂(B₃r → M₂B₁r)","10542279135","6294656","false"
"M₁M₂¬(p ⇿ B₂B₃q)","13384084367","6572920","false"
"M₁M₃M₃(M₃r ⇿ B₁p)","10655955029","6294656","false"
"M₁B₂M₁M₂M₃¬p","10633766752","6294640","false"
"M₁M₁B₁B₂B₂(q ∨ r)","10521235575","6294656","false"
"M₁B₂B₂B₃M₂M₃q","1572441371121","30792880","false"
"M₁(M₁M₁q → (¬q ∧ r))","87130530394","10469472","false"
"M₁M₂((r ∧ r) ∨ M₂(p → q))","70046521766","10445336","false"
"M₁M₃B₃((q → r) → M₂p)","12692758054","6572936","false"
"M₁B₁(B₂(B₁q → r) → r)","11544614726","6572936","false"
"M₁(M₂(B₁p ∨ r) ∨ B₁p)","11593289834","6572936","false"
"M₁¬M₃(((p ∨ q) → p) ⇿ r)","10087260584","3687976","false"
"M₁B₁((r ⇿ r) ∧ (B₁p ⇿ r))","87465360286","10445336","false"
"M₁¬(B₂((p → r) → q) ⇿ p)","10033543668","3687528","false"
"M₁((B₂M₃r ⇿ p) ∨ (q ⇿ r))","73217044898","10445336","false"
"M₁M₃¬M₃(M₁q ∨ p)","12351252380","6572920","false"
"M₁(B₃(p ⇿ p) ⇿ ¬¬q)","10080444909","3687064","false"
"M₁(M₁p ∧ B₁(r ⇿ M₁p))","12296535209","6572936","false"
"M₁¬M₂((p ⇿ r) ∨ (p ∧ q))","10077496138","3687528","false"
"M₁(¬(q → q) → ((q ⇿ q) ⇿ q))","7915568","3517640","true"
"M₁(M₃M₃((p → r) → r) ∧ p)","83207230209","10445336","false"
"M₁(M₁(B₃¬q ⇿ p) ⇿ p)","77661235352","10514792","false"
"M₂(¬M₁B₂(p ∧ r) ⇿ p)","84799046447","10445320","false"
"M₂B₃B₃((q → r) → M₂p)","12310856819","6572936","false"
"M₂(M₂M₁¬r ⇿ B₁q)","11905952999","6572920","false"
"M₂(((p → p) ⇿ r) ⇿ B₁M₂r)","71042413277","10445336","false"
"M₂(B₃r ⇿ B₃¬(p → p))","69563867484","10445320","false"
"M₂¬B₂B₃((q ∧ q) → p)","79945607329","10445320","false"
"M₂M₂B₃B₁B₂(r ∨ r)","10739686389803","79761976","false"
"M₂M₁¬¬¬(q → q)","10081892043","3688840","false"
"M₂((B₂M₃r ⇿ p) ∨ (q ⇿ r))","70584189189","10445336","false"
"M₂B₃M₂¬(B₁p ⇿ r)","12199845868","6572920","false"
"M₂M₃(B₃r ⇿ (M₂q ∧ p))","11156370191","6572936","false"
"M₂B₂B₃B₂¬M₃r","11113740446203","79804776","false"
"M₂B₃B₃((M₃p ⇿ p) ∨ q)","13263182922","6572936","false"
"M₂M₁M₁(M₃(q → r) ∧ r)","11991623722","6572936","false"
"M₂(¬B₁B₃r → (r ∧ r))","68097659885","10445320","false"
"M₂¬M₃((p ∨ q) ∧ B₃q)","68285932805","10445320","false"
"M₂¬M₂((p ⇿ r) ∨ (p ∧ q))","10024164063","3688872","false"
"M₂M₂(((q ∧ r) ∨ q) ∨ (q ∧ r))","10038956418","3689336","false"
"M₂B₁((M₃(p ⇿ r) ⇿ q) ∧ q)","71110590384","10445336","false"
"M₂M₂(((r ∨ r) ⇿ r) ⇿ M₂r)","69278308102","10445336","false"
"M₂B₁M₁((M₃q → r) ∨ r)","11182197231","6572936","false"
"M₂M₂(M₂q ∧ M₃(q ∧ r))","11248277127","6572936","false"
"M₂M₁(¬M₂M₂q ∧ r)","11259798310","6572920","false"
"M₂((p ∧ r) ∨ M₁M₃(p ∧ r))","67244345884","10445336","false"
"M₂(M₃M₁(p ∧ p) ∧ B₃r)","11103643710","6572936","false"
"M₂B₁M₁(¬p → B₃q)","11579860358","6572920","false"
"M₃B₃(M₂q ∧ M₃(q ∧ r))","11410449817","6572936","false"
"M₃(((r ∧ r) ⇿ q) ∨ B₂M₂r)","67862719760","10445336","false"
"M₃M₂((q ∧ r) ⇿ B₂(p ∨ r))","70197310677","10446000","false"
"M₃(q ∧ M₁(B₃M₂q → p))","11144995135","6572936","false"
"M₃M₁(q → (((q → r) ∧ q) ⇿ r))","10076306606","3689336","false"
"M₃(B₃M₂B₁q ⇿ B₃p)","11122986673649","79824336","false"
"M₃((((q → r) ∧ q) ⇿ r) ∧ (p ∨ r))","10442871278","3409376","false"
"M₃B₃B₃((M₃p ⇿ p) ∨ q)","11660081671","6572936","false"
"M₃B₃¬B₂M₃(r ∧ r)","12185687358","6572920","false"
"M₃(M₂¬r ∧ ((p ∨ r) ∨ r))","10010888604","3688424","false"
"M₃B₁(B₁r ∨ B₁(q ⇿ r))","11582636218","6572936","false"
"M₃¬M₁B₁M₃(p ⇿ r)","12435456159","6572920","false"
"M₃((r ∨ r) → ((r ⇿ r) ⇿ (p ∧ p)))","10006106032","3517656","false"
"M₃B₃((p ∨ q) ∨ ((q → r) ∧ q))","10083047279","3688888","false"
"M₃B₂(M₂q ∧ M₃(q ∧ r))","11008048362","6572936","false"
"M₃B₁((r ⇿ r) ∧ (B₁p ⇿ r))","85594249303","10445336","false"
"M₃B₁(B₂¬p ⇿ ¬q)","85340846734","10445304","false"
"M₃(M₃B₁B₂q ∧ (r ∨ r))","11861628160","6572936","false"
"M₃(¬(q → q) → ((q ⇿ q) ⇿ q))","6466290","3517640","true"
"M₃B₂B₃B₂¬M₃r","11367999358753","79831112","false"
"M₃M₃¬(¬p → B₃q)","79013336656","10465696","false"
"M₃((p → p) ⇿ M₃M₁(p ∨ q))","65684231955","10445336","false"
"M₃B₃M₃(M₁q ∨ B₃p)","11227349044119","79768504","false"
"M₃((q ∧ q) → M₂((p ∧ r) ∧ p))","10013054586","3689552","false"
"M₃(B₃B₃B₁(p ∧ p) → p)","11405333965","6573152","false"
"M₃B₃M₂B₂M₁M₁r","1198015585883","30712440","false"
"B₁((B₂r ∨ (p ∨ p)) ⇿ (r ∧ r))","8120898","3519888","false"
"B₁B₃B₁(B₂M₂r ∨ q)","10609286820","6367568","false"
"B₁(¬(B₁r ⇿ q) ⇿ (r → p))","8300851","3519872","false"
