7185370;3614096
9243353;3613408
7204107;3614096
6798830;3613408
6402339;3614096
8318241;3613408
11155799;3614096
8557326;3613408
8583813;3614096
10236438;3613408
8313143;3613408
7841528;3613408
7935539;3614096
8137348;3613408
7141784;3614096
7273145;3613408
7204096;3613408
7586026;3614096
6272287;3614096
6656893;3613408
7545757;3613408
7022974;3614096
7190080;3614096
7001723;3613408
7219774;3614096
6380444;3614096
9209448;3613408
6812458;3613408
6556270;3613392
6555333;3613392
6632141;3613392
6828754;3614480
7262198;3613992
7065187;3614480
7021771;3614480
6731942;3613872
6540388;3613872
6435746;3613872
7286630;3614560
7164951;3452128
7612861;3452144
5511237;3451648
7360015;3451632
6856202;3451440
6961982;3451648
7381268;3451456
10028803;3452144
5053950;3451632
7203568;3451456
5365209;3452144
7496519;3452432
7677937;3451456
7767152;3451744
6699492;3452144
6648833;3452432
6328953;3451648
6890702;3452144
7299619;3451744
6838875;3451648
8121281;3451760
7016297;3451744
7167896;3451912
7032771;3451912
7516405;3452064
6823190;3450472
6917649;3450704
7849186;3462912
7450435;3451776
7278670;3451664
8399864;3451664
8227383;3450472
6881682;3450472
7240805;3451488
9733833;3518408
8664281;3518712
5505800;3518040
7626257;3519656
6600263;3518808
11004130;3519376
4625085;3519176
4717054;3519376
4414487;3518904
4529615;3519192
6281813;3518888
4796140;3519360
4340748;3519376
6170325;3519608
7198133;3518808
7214432;3517864
6859872;3518888
7412514;3519656
7590758;3519192
4783204;3518888
7258314;3518808
5194738;3518904
7919966;3518904
6767216;3451336
15440291;3450008
7701890;3450504
6194292;3449720
22100976;3541608
4095023;3450760
7079835;3461320
7119230;3461320
6253578;3449096
7253721;3449200
7510664;3451712
5812495;3450656
6592118;3448968
6180644;3450768
6107562;3449200
7976372;3516856
6334553;3517672
4896273;3517424
6768733;3517328
4880008;3516920
5070416;3518280
7202905;3518096
7942961;3518832
7374715;3516848
5163904;3517456
5051567;3518344
7984343;3517888
7366776;3518360
7510062;3518640
325998238;3935744
6996790;3517856
253195302;3935744
7200679;3517472
5589007;3517376
7312148;3522232
8276086;3522920
220753937;3898376
5731297;3520632
9308741;3518264
18213791;3602304
6586018;3530648
7037920;3520064
19412169;3599592
7493036;3518040
7357046;3517792
7948929;3520064
7047894;3519784
5230598;3519984
4113624246;5224496
7926018;3517872
8486545;3519672
6134877;3520056
8504550;3520128
8120898;3519888
8300851;3519872
7717119;3520160
20523786;3610832
10399048;3520816
5113480;3519872
7551048;3520736
6641784;3520344
6669854;3520160
7250232;3519200
